ISO,Country.or.Area,Subgroup,Year,Source,Unit,BirthValue,Value Footnotes
IRL,Ireland,Total,2011,UN_United Nations Population Division,Per 1000 population,16,
ISR,Israel,Total,2011,UN_United Nations Population Division,Per 1000 population,21,
ITA,Italy,Total,2011,UN_United Nations Population Division,Per 1000 population,9,
JAM,Jamaica,Total,2011,UN_United Nations Population Division,Per 1000 population,18,
JPN,Japan,Total,2011,UN_United Nations Population Division,Per 1000 population,8,
JOR,Jordan,Total,2011,UN_United Nations Population Division,Per 1000 population,25,
KAZ,Kazakhstan,Total,2011,UN_United Nations Population Division,Per 1000 population,21,
KEN,Kenya,Total,2011,UN_United Nations Population Division,Per 1000 population,37,
KWT,Kuwait,Total,2011,UN_United Nations Population Division,Per 1000 population,18,
KGZ,Kyrgyzstan,Total,2011,UN_United Nations Population Division,Per 1000 population,24,
LAO,Lao People's Democratic Republic,Total,2011,UN_United Nations Population Division,Per 1000 population,22,
,Latin America and Caribbean,Total,2011,UN_United Nations Population Division,Per 1000 population,18,1
LVA,Latvia,Total,2011,UN_United Nations Population Division,Per 1000 population,11,
,Least Developed Countries/Territories,Total,2011,UN_United Nations Population Division,Per 1000 population,33,1
LBN,Lebanon,Total,2011,UN_United Nations Population Division,Per 1000 population,15,
LSO,Lesotho,Total,2011,UN_United Nations Population Division,Per 1000 population,28,
LBR,Liberia,Total,2011,UN_United Nations Population Division,Per 1000 population,39,
LBY,Libya,Total,2011,UN_United Nations Population Division,Per 1000 population,23,
LTU,Lithuania,Total,2011,UN_United Nations Population Division,Per 1000 population,11,
LUX,Luxembourg,Total,2011,UN_United Nations Population Division,Per 1000 population,12,
MDG,Madagascar,Total,2011,UN_United Nations Population Division,Per 1000 population,35,
MWI,Malawi,Total,2011,UN_United Nations Population Division,Per 1000 population,44,
MYS,Malaysia,Total,2011,UN_United Nations Population Division,Per 1000 population,20,
MDV,Maldives,Total,2011,UN_United Nations Population Division,Per 1000 population,17,
MLI,Mali,Total,2011,UN_United Nations Population Division,Per 1000 population,46,
MLT,Malta,Total,2011,UN_United Nations Population Division,Per 1000 population,9,
MRT,Mauritania,Total,2011,UN_United Nations Population Division,Per 1000 population,33,
MUS,Mauritius,Total,2011,UN_United Nations Population Division,Per 1000 population,13,
MEX,Mexico,Total,2011,UN_United Nations Population Division,Per 1000 population,19,
:::Micronesia ,Micronesia (Federated States of),Total,2011,UN_United Nations Population Division,Per 1000 population,24,
,Middle East and North Africa,Total,2011,UN_United Nations Population Division,Per 1000 population,24,1
MNG,Mongolia,Total,2011,UN_United Nations Population Division,Per 1000 population,23,
