,Country.or.Area,Subgroup,Year,Source,Unit,PopValue,Value Footnotes
LTU,Lithuania,Total,2011,UN_United Nations Population Division,Thousand,3307,
ALB,Albania,Total,2011,UN_United Nations Population Division,Thousand,3216,
ARM,Armenia,Total,2011,UN_United Nations Population Division,Thousand,3100,
OMN,Oman,Total,2011,UN_United Nations Population Division,Thousand,2846,
KWT,Kuwait,Total,2011,UN_United Nations Population Division,Thousand,2818,
MNG,Mongolia,Total,2011,UN_United Nations Population Division,Thousand,2800,
JAM,Jamaica,Total,2011,UN_United Nations Population Division,Thousand,2751,
NAM,Namibia,Total,2011,UN_United Nations Population Division,Thousand,2324,
LVA,Latvia,Total,2011,UN_United Nations Population Division,Thousand,2243,
LSO,Lesotho,Total,2011,UN_United Nations Population Division,Thousand,2194,
MKD,The former Yugoslav Republic of Macedonia,Total,2011,UN_United Nations Population Division,Thousand,2064,
SVN,Slovenia,Total,2011,UN_United Nations Population Division,Thousand,2035,
BWA,Botswana,Total,2011,UN_United Nations Population Division,Thousand,2031,
QAT,Qatar,Total,2011,UN_United Nations Population Division,Thousand,1870,
GMB,Gambia,Total,2011,UN_United Nations Population Division,Thousand,1776,
,Guinea-Bissau,Total,2011,UN_United Nations Population Division,Thousand,1547,
GAB,Gabon,Total,2011,UN_United Nations Population Division,Thousand,1534,
TTO,Trinidad and Tobago,Total,2011,UN_United Nations Population Division,Thousand,1346,
EST,Estonia,Total,2011,UN_United Nations Population Division,Thousand,1341,
BHR,Bahrain,Total,2011,UN_United Nations Population Division,Thousand,1324,
MUS,Mauritius,Total,2011,UN_United Nations Population Division,Thousand,1307,
SWZ,Swaziland,Total,2011,UN_United Nations Population Division,Thousand,1203,
,Timor-Leste,Total,2011,UN_United Nations Population Division,Thousand,1154,
CYP,Cyprus,Total,2011,UN_United Nations Population Division,Thousand,1117,
DJI,Djibouti,Total,2011,UN_United Nations Population Division,Thousand,906,
FJI,Fiji,Total,2011,UN_United Nations Population Division,Thousand,868,
GUY,Guyana,Total,2011,UN_United Nations Population Division,Thousand,756,
,Comoros,Total,2011,UN_United Nations Population Division,Thousand,754,
BTN,Bhutan,Total,2011,UN_United Nations Population Division,Thousand,738,
,Equatorial Guinea,Total,2011,UN_United Nations Population Division,Thousand,720,
MNE,Montenegro,Total,2011,UN_United Nations Population Division,Thousand,632,
,Solomon Islands,Total,2011,UN_United Nations Population Division,Thousand,552,
SUR,Suriname,Total,2011,UN_United Nations Population Division,Thousand,529,
LUX,Luxembourg,Total,2011,UN_United Nations Population Division,Thousand,516,
CPV,Cape Verde,Total,2011,UN_United Nations Population Division,Thousand,501,
MLT,Malta,Total,2011,UN_United Nations Population Division,Thousand,418,
,Brunei Darussalam,Total,2011,UN_United Nations Population Division,Thousand,406,
BHS,Bahamas,Total,2011,UN_United Nations Population Division,Thousand,347,
ISL,Iceland,Total,2011,UN_United Nations Population Division,Thousand,324,
MDV,Maldives,Total,2011,UN_United Nations Population Division,Thousand,320,
,Belize,Total,2011,UN_United Nations Population Division,Thousand,318,
,Barbados,Total,2011,UN_United Nations Population Division,Thousand,274,
,Vanuatu,Total,2011,UN_United Nations Population Division,Thousand,246,
,Samoa,Total,2011,UN_United Nations Population Division,Thousand,184,
,Saint Lucia,Total,2011,UN_United Nations Population Division,Thousand,176,
,Sao Tome and Principe,Total,2011,UN_United Nations Population Division,Thousand,169,
,Micronesia (Federated States of),Total,2011,UN_United Nations Population Division,Thousand,112,
,Saint Vincent and the Grenadines,Total,2011,UN_United Nations Population Division,Thousand,109,
,Grenada,Total,2011,UN_United Nations Population Division,Thousand,105,
,Tonga,Total,2011,UN_United Nations Population Division,Thousand,105,
,Kiribati,Total,2011,UN_United Nations Population Division,Thousand,101,
,Antigua and Barbuda,Total,2011,UN_United Nations Population Division,Thousand,90,
,Seychelles,Total,2011,UN_United Nations Population Division,Thousand,87,
,Andorra,Total,2011,UN_United Nations Population Division,Thousand,86,
,Dominica,Total,2011,UN_United Nations Population Division,Thousand,68,
,Marshall Islands,Total,2011,UN_United Nations Population Division,Thousand,55,
,Saint Kitts and Nevis,Total,2011,UN_United Nations Population Division,Thousand,53,
,Liechtenstein,Total,2011,UN_United Nations Population Division,Thousand,36,
,Monaco,Total,2011,UN_United Nations Population Division,Thousand,35,
,San Marino,Total,2011,UN_United Nations Population Division,Thousand,32,
,Palau,Total,2011,UN_United Nations Population Division,Thousand,21,
,Cook Islands,Total,2011,UN_United Nations Population Division,Thousand,20,
,Nauru,Total,2011,UN_United Nations Population Division,Thousand,10,
,Tuvalu,Total,2011,UN_United Nations Population Division,Thousand,10,
,Niue,Total,2011,UN_United Nations Population Division,Thousand,1,
,Holy See,Total,2011,UN_United Nations Population Division,Thousand,0,
